Brand,Actual_price,Discount_price,rating,RAM,Storage,processors,windows
HP,"₹92,083","₹30,999",3.7,16 GB,512 GB,,Windows 11
HP,"₹50,843","₹76,990",4,16 GB,512 GB,,Windows 11
HP,"₹47,990","₹41,490",5,8 GB,512 GB,,Windows 11
MSI,"₹84,858","₹35,990",5,16 GB,,,Windows 11
HP,,"₹63,990",4.2,8 GB,,,Windows 11
CHUWI,"₹34,990","₹15,990",3.7,8GB,256GB,i5,Windows 11
CHUWI,"₹34,990","₹17,990",4.1,8 GB,256 GB,i3,Windows 11
Apple,"₹2,49,900","₹2,34,990",4.7,8 GB,256 GB,i5,Windows 11
Lenovo,"₹40,490","₹25,490",4.1,8 GB,18 GB,i5,Windows 11
CHUWI,"₹39,990","₹18,990",3.7,8 GB,512 GB,i3,Windows 11
CHUWI,"₹59,990","₹41,990",4.3,16 GB,256 GB,i3,Windows 11
Infinix,"₹99,990","₹64,990",4.1,16 GB,256 GB,i3,Windows 11
Acer,"₹69,131","₹43,999",4.2,8 GB,512 GB,i5,Windows 11
DELL,"₹66,472","₹49,990",4.1,16 GB,512 GB,Ryzen 5,Windows 11
DELL,"₹44,990","₹51,980",4,8 GB,512 GB,i5,Windows 11
CHUWI,"₹49,990","₹21,990",4,8 GB,512 GB,i3,Windows 11
CHUWI,"₹29,990","₹37,990",4,12GB,512 GB,i5,Windows 11
Acer,"₹57,790","₹22,990",4.3,12 GB,256 GB,Ryzen 3,Windows 11
Lenovo,"₹83,705","₹39,490",3,8 GB,512GB,i7,Windows 11
HP,"₹70,990","₹67,990",4.2,16 GB,512 GB,i5,Windows 11
ASUS,"₹65,104","₹40,990",4.2,16 GB,256 GB,i5,Windows 11
DELL,"₹49,990","₹47,490",4.1,16 GB,512 GB,,Windows 11
HP,"₹85,000","₹31,990",4,8 GB,512 GB,,Windows 11
DELL,"₹59,390","₹48,190",4,8 GB,512 GB,,Windows 11
Lenovo,"₹1,31,990","₹31,450",5,16 GB,512 GB,,Windows 11
ASUS,"₹59,327","₹1,04,990",4.5,8 GB,512 GB,,Windows 11
HP,"₹1,89,900","₹45,990",4.2,16 GB,512 GB,,Windows 11
Apple,"₹1,01,990","₹1,54,990",3,8 GB,512 GB,,
ASUS,,"₹84,990",5,8 GB,512 GB,,
CHUWI,"₹34,990","₹15,990",3.7,8GB,256GB,Ryzen 5,Windows 11
CHUWI,"₹34,990","₹17,990",4.1,8 GB,256 GB,i5,Windows 11
DELL,"₹54,229","₹39,490",3.8,8 GB,256 GB,i5,Windows 11
HP,"₹33,891","₹22,099",3.4,8 GB,512 GB,i7,Windows 11
CHUWI,"₹39,990","₹18,990",3.7,8 GB,256 GB,Ryzen 5,Windows 11
CHUWI,"₹59,990","₹41,990",4.3,8 GB,256 GB,Ryzen 5,Windows 11
Lenovo,"₹94,690","₹68,190",4,16 GB,512 GB,i3,Windows 11
Thomson,"₹69,990","₹43,990",3.8,16 GB,512 GB,i3,Windows 11
HP,"₹44,990","₹30,990",4.5,16 GB,512 GB,i5,Windows 11
ASUS,"₹79,990","₹50,990",4.1,8 GB,512 GB,Ryzen 3,Windows 11
CHUWI,"₹44,990","₹21,990",4,16 GB,512 GB,Ryzen 5,Windows 11
CHUWI,"₹49,990","₹37,990",3,8 GB,256 GB,Ryzen 5,Windows 11
Acer,"₹34,515","₹52,999",3.7,12GB,512GB,Ryzen 5,Windows 11
HP,"₹42,359","₹15,990",3.9,12 GB,512 GB,i5,Windows 11
HP,"₹2,39,900","₹31,690",4.1,8 GB,512 GB,i5,Windows 11
Apple,"₹67,264","₹2,22,990",4.2,4 GB,512 GB,i7,Windows 11
HP,"₹1,08,190","₹48,990",4.4,8 GB,24 GB,,Windows 11
Lenovo,"₹48,419","₹75,390",3.7,16 GB,512 GB,,Windows 11
HP,"₹2,39,900","₹39,990",4.3,16 GB,512 GB,,Windows 11
Apple,"₹61,147","₹2,22,990",4.7,8 GB,512 GB,,Windows 11
Acer,"₹82,414","₹40,900",4.5,8 GB,24 GB,,
HP,"₹1,14,900","₹69,990",4,16 GB,512 GB,,
Apple,"₹1,53,890","₹1,04,699",5,16 GB,256 GB,,
Lenovo,,"₹97,990",5,16 GB,512 GB,,
CHUWI,"₹34,990","₹15,990",3.7,8GB,256GB,i9,Windows 11
CHUWI,"₹34,990","₹17,990",4.1,8 GB,256 GB,i5,Windows 11
ASUS,"₹1,79,990","₹1,59,990",4.4,8 GB,256 GB,i5,Windows 11
ASUS,"₹73,490","₹52,990",4.3,16 GB,512 GB,Ryzen 5,Windows 11
HP,"₹75,414","₹59,990",4,16 GB,512 GB,i5,Windows 11
HP,"₹80,314","₹70,990",4.2,16 GB,512 GB,i7,Windows 11
CHUWI,"₹39,990","₹18,990",3.7,16 GB,256 GB,i5,Windows 11
CHUWI,"₹59,990","₹41,990",4.8,8 GB,512 GB,i3,Windows 11
MSI,"₹97,990","₹79,990",4.4,16 GB,512 GB,i3,Windows 11
ASUS,"₹89,990","₹72,990",4.1,16 GB,512 GB,i5,Windows 11
CHUWI,"₹44,990","₹21,990",4,16 GB,256 GB,i7,Windows 11
CHUWI,"₹49,990","₹37,990",4.3,8 GB,512GB,Ryzen 7,Windows 11
Lenovo,"₹1,30,090","₹84,790",5,12GB,512 GB,i7,Windows 11
Acer,"₹79,990","₹53,990",4,12 GB,512 GB,Ryzen 3,Windows 11
HP,"₹1,64,831","₹1,28,490",3.6,16 GB,512 GB,i7,Windows 11
Lenovo,"₹89,640","₹54,990",4,16 GB,512 GB,Ryzen 5,Windows 11
HP,"₹1,57,945","₹1,22,990",4.2,16 GB,32 GB,Ryzen 3,Windows 11
Lenovo,"₹39,990","₹29,990",4.3,16 GB,512 GB,i3,Windows 11
MSI,"₹1,79,990","₹1,54,990",4.3,16 GB,512 GB,i3,Windows 11
Lenovo,"₹59,990","₹34,490",4.2,8 GB,256GB,i3,Windows 11
HP,"₹44,990","₹25,300",5,8 GB,256 GB,,Windows 11
DELL,"₹54,990","₹59,839",4,8 GB,512 GB,,Windows 11
ASUS,,"₹35,990",4.3,8GB,512 GB,,Windows 11
Acer,,"₹1,08,799",5,8 GB,,,Windows 11
HP,"₹30,143","₹20,590",3.7,4 GB,512 GB,i5,Windows 11
HP,"₹86,343","₹64,990",4.3,16 GB,256GB,i5,Windows 11
CHUWI,"₹34,990","₹15,990",3.7,8GB,256 GB,i5,Windows 11
CHUWI,"₹34,990","₹17,990",4.1,8 GB,256 GB,i5,Windows 11
ASUS,"₹98,990","₹70,990",4.4,8 GB,512 GB,Ryzen 5,Windows 11
MSI,"₹94,990","₹66,990",4,16 GB,512 GB,i7,Windows 11
CHUWI,"₹39,990","₹18,990",3.7,16 GB,256 GB,i3,Windows 11
CHUWI,"₹59,990","₹41,990",4,8 GB,512 GB,i3,Windows 11
Lenovo,"₹55,090","₹33,799",4.3,16 GB,512 GB,i3,Windows 11
Acer,"₹83,990","₹1,08,799",4.1,8 GB,512 GB,Ryzen 3,Windows 11
MSI,"₹50,000","₹59,190",4.2,16 GB,512 GB,i5,Windows 11
Lenovo,"₹44,990","₹33,790",4.1,8 GB,256 GB,i5,Windows 11
CHUWI,"₹49,990","₹21,990",4,8 GB,256 GB,Ryzen 7,Windows 11
CHUWI,"₹54,490","₹37,990",4.1,8 GB,512GB,i5,Windows 11
Lenovo,"₹79,990","₹31,190",4.3,12GB,512 GB,i7,Windows 11
Acer,"₹69,990","₹53,990",4,12 GB,512 GB,i5,Windows 11
ASUS,"₹82,990","₹43,990",4,8 GB,512 GB,i5,Windows 11
ASUS,"₹73,920","₹64,990",4.1,16 GB,512 GB,i5,Windows 11
HP,"₹99,590","₹59,890",4.9,8 GB,512 GB,i5,Windows 11
HP,"₹75,059","₹83,690",4.3,16 GB,512 GB,,Windows 11
HP,"₹59,327","₹64,490",4.1,16 GB,32 GB,,Windows 11
HP,"₹85,000","₹45,990",4.3,8 GB,512 GB,,Windows 11
DELL,"₹62,417","₹48,190",5,8 GB,512 GB,,Windows 11
HP,,"₹48,902",5,16 GB,512 GB,,
MSI,"₹1,11,990","₹97,990",4.8,16 GB,512 GB,Ryzen 7,Windows 11
Apple,"₹34,990","₹1,34,900",4.7,16 GB,256GB,i5,Windows 11
CHUWI,"₹34,990","₹15,990",3.7,8GB,256 GB,i3,Windows 11
CHUWI,"₹1,09,690","₹17,990",4.1,8 GB,256 GB,Ryzen 3,Windows 11
Lenovo,"₹39,990","₹72,190",4.5,8 GB,512 GB,i7,Windows 11
Infinix,"₹39,990","₹49,999",4.2,16 GB,256 GB,i5,Windows 11
Lenovo,"₹59,990","₹29,990",3.6,8 GB,512 GB,i5,Windows 11
WINGS,"₹75,414","₹89,999",4,8 GB,512 GB,i3,Windows 11
CHUWI,"₹1,30,090","₹18,990",3.7,16 GB,256 GB,i3,Windows 11
CHUWI,"₹44,990","₹41,990",4,8 GB,512 GB,i9,Windows 11
HP,"₹49,990","₹59,990",4.1,16 GB,512 GB,i5,Windows 11
Lenovo,"₹1,16,990","₹84,790",4,16 GB,256 GB,i5,Windows 11
CHUWI,"₹98,990","₹21,990",3.9,16 GB,512GB,i5,Windows 11
CHUWI,"₹75,494","₹37,990",4.4,8 GB,512 GB,i5,Windows 11
ASUS,"₹87,500","₹94,990",4.2,12GB,512 GB,i5,Windows 11
ASUS,"₹63,416","₹70,990",4.2,12 GB,512 GB,i7,Windows 11
HP,"₹1,57,945","₹57,890",4.2,16 GB,512 GB,i7,Windows 11
DELL,"₹1,42,999","₹55,590",4.3,16 GB,512 GB,i3,Windows 11
DELL,"₹55,999","₹51,490",4,8 GB,512 GB,i9,Windows 11
Lenovo,,"₹1,14,690",4.2,8 GB,512 GB,,Windows 11
HP,,"₹1,22,990",4.1,8 GB,,,Windows 11
Acer,,"₹1,19,990",4.2,16 GB,,,Windows 11
Acer,,"₹44,990",4.2,16 GB,,,Windows 11
Infinix,,"₹1,29,990",5,16 GB,,,
MSI,"₹1,79,990","₹1,29,990",4.3,16 GB,512 GB,i9,Windows 11
MSI,"₹44,990","₹32,990",4.3,8 GB,512 GB,i3,Windows 11
ASUS,"₹1,22,990","₹94,990",4.7,16 GB,256GB,i5,Windows 11
ASUS,"₹98,990","₹70,990",4.4,16 GB,256 GB,i5,Windows 11
CHUWI,"₹34,990","₹15,990",3.7,8GB,256 GB,Ryzen 7,Windows 11
CHUWI,"₹34,990","₹17,990",4.1,8 GB,512 GB,i5,Windows 11
HP,"₹64,175","₹49,700",4.3,8 GB,512 GB,i3,Windows 11
ASUS,"₹82,990","₹64,990",4,16 GB,256 GB,i7,Windows 11
CHUWI,"₹39,990","₹18,990",3.7,16 GB,512 GB,i3,Windows 11
CHUWI,"₹59,990","₹41,990",4.2,8 GB,512 GB,i3,Windows 11
HP,"₹50,843","₹35,890",4.5,16 GB,512 GB,i3,Windows 11
ASUS,"₹58,899","₹1,36,990",4.1,8 GB,256 GB,i9,Windows 11
HP,"₹39,990","₹32,890",4.3,16 GB,256 GB,i3,Windows 11
ASUS,"₹44,990","₹25,990",4.1,8 GB,512GB,i5,Windows 11
CHUWI,"₹49,990","₹21,990",4,8 GB,512 GB,i5,Windows 11
CHUWI,"₹1,79,990","₹37,990",4.4,8 GB,512 GB,i5,Windows 11
ASUS,"₹54,990","₹1,59,990",4.3,12GB,512 GB,i3,Windows 11
ASUS,"₹83,890","₹35,990",4.2,12 GB,512 GB,Ryzen 3,Windows 11
Lenovo,"₹78,999","₹60,190",4.3,16 GB,512 GB,,Windows 11
Acer,"₹1,60,989","₹62,990",4.6,8 GB,512 GB,,Windows 11
SAMSUNG,"₹72,490","₹1,14,990",4.3,16 GB,512 GB,,Windows 11
ASUS,"₹61,440","₹54,990",3.3,8 GB,512 GB,,Windows 11
DELL,"₹50,990","₹38,890",4,16 GB,,,Windows 11
ASUS,,"₹48,000",5,16 GB,,,
CHUWI,"₹34,990","₹15,990",3.7,8GB,256GB,i3,Windows 11
CHUWI,"₹34,990","₹17,990",4.1,8 GB,256 GB,Ryzen 7,Windows 11
Thomson,"₹39,990","₹24,990",3.8,8 GB,256 GB,i5,Windows 11
ASUS,"₹68,990","₹59,990",4.4,8 GB,256 GB,i5,Windows 11
CHUWI,"₹39,990","₹18,990",3.7,8 GB,512 GB,M2,Windows 11
CHUWI,"₹59,990","₹41,990",3.8,8 GB,256 GB,i5,Windows 11
Lenovo,"₹79,690","₹58,990",4.7,16 GB,512 GB,Ryzen 5,Windows 11
Apple,"₹99,900","₹88,499",4,16 GB,512 GB,i3,Windows 11
ASUS,"₹1,79,990","₹84,990",4.5,8 GB,256 GB,i3,Windows 11
HP,"₹50,000","₹40,699",4.1,16 GB,512 GB,i5,Windows 11
CHUWI,"₹44,990","₹21,990",4,8 GB,512 GB,i3,Windows 11
CHUWI,"₹49,990","₹37,990",4.4,8 GB,256 GB,i5,Windows 11
ASUS,"₹87,990","₹75,990",4.1,12GB,512GB,i9,Windows 11
DELL,"₹45,900","₹38,500",3.5,12 GB,512 GB,i5,Windows 11
DELL,"₹99,155","₹81,990",3.9,16 GB,512 GB,Ryzen 5,Windows 11
ASUS,"₹1,16,990","₹94,990",4.5,8 GB,512 GB,Ryzen 3,Windows 11
Lenovo,"₹1,09,690","₹72,190",4.4,16 GB,512 GB,i7,Windows 11
ASUS,"₹54,990","₹49,990",3.8,16 GB,512 GB,i3,
HP,"₹31,999","₹24,990",4.3,16 GB,512 GB,,
HP,"₹25,450","₹46,055",3.7,8 GB,512 GB,,
HP,"₹1,51,990","₹19,670",3.7,4 GB,256 GB,,
MSI,"₹39,999","₹1,34,990",4.1,8 GB,256 GB,,
Acer,"₹35,990","₹28,990",3.4,4 GB,512 GB,,
DELL,,"₹18,990",4.7,16 GB,256 GB,,
CHUWI,"₹34,990","₹15,990",3.7,8GB,256GB,i7,Windows 11
CHUWI,"₹34,990","₹17,990",4.1,8 GB,256 GB,i3,Windows 11
MSI,"₹1,51,990","₹1,34,990",3.7,8 GB,256 GB,i5,Windows 11
Avita,"₹59,980","₹25,990",3.3,16 GB,512 GB,i5,Windows 11
MICROSOFT,"₹80,999","₹79,990",4.2,8 GB,256 GB,Ryzen 5,Windows 11
DELL,"₹35,990","₹18,990",3.4,8 GB,256 GB,i7,Windows 11
CHUWI,"₹39,990","₹18,990",3.7,4 GB,256 GB,i3,Windows 11
CHUWI,"₹59,990","₹41,990",4.1,8 GB,512 GB,i3,Windows 11
Acer,"₹51,999","₹34,990",4.6,16 GB,512 GB,i3,Windows 11
Lenovo,"₹1,36,090","₹1,02,990",4.1,8 GB,512 GB,i5,Windows 11
CHUWI,"₹44,990","₹21,990",4,16 GB,256 GB,i5,Windows 11
CHUWI,"₹49,990","₹37,990",4.1,8 GB,512GB,Ryzen 3,Windows 11
Acer,"₹39,999","₹28,990",4.1,12GB,512 GB,i3,Windows 11
Lenovo,"₹1,05,190","₹68,490",4,12 GB,512 GB,i3,Windows 11
Lenovo,"₹90,990","₹40,990",4.2,8 GB,512 GB,i5,Windows 11
DELL,"₹46,372","₹31,890",4.2,16 GB,512 GB,i3,Windows 11
Primebook,"₹27,990","₹14,990",4.3,8 GB,512 GB,Ryzen 5,Windows 11
ASUS,"₹44,990","₹26,990",4.4,8 GB,256 GB,i7,Windows 11
HP,"₹45,990","₹46,220",3.7,4 GB,512 GB,i5,Windows 11
Ultimus,"₹42,999","₹25,990",3.8,8 GB,512 GB,,
HP,"₹55,000","₹30,490",4.4,4 GB,512 GB,,
HP,"₹1,04,000","₹38,990",4.7,8 GB,256 GB,,
HP,"₹91,790","₹94,990",4.2,8 GB,512 GB,,
Lenovo,,"₹64,690",4.4,8 GB,512 GB,,
DELL,"₹70,761","₹52,990",3.8,16 GB,512 GB,i5,Windows 11
HP,"₹1,19,238","₹1,03,990",4,16 GB,512 GB,i7,Windows 11
CHUWI,"₹34,990","₹15,990",3.7,8GB,256GB,i5,Windows 11
CHUWI,"₹34,990","₹17,990",4.1,8 GB,256 GB,i5,Windows 11
ASUS,"₹89,990","₹79,890",3.6,8 GB,256 GB,i5,Windows 11
DELL,"₹63,988","₹48,990",3.8,16 GB,512 GB,i3,Windows 11
CHUWI,"₹39,990","₹18,990",3.7,8 GB,512 GB,i5,Windows 11
CHUWI,"₹59,990","₹41,990",3.9,8 GB,256 GB,i3,Windows 11
DELL,"₹43,074","₹36,990",4.3,16 GB,512 GB,Ryzen 5,Windows 11
Acer,"₹79,990","₹63,490",4.3,8 GB,512 GB,i3,Windows 11
ASUS,"₹71,273","₹60,990",4.1,16 GB,512 GB,i3,Windows 11
HP,"₹44,990","₹69,999",4,8 GB,512 GB,i5,Windows 11
CHUWI,"₹49,990","₹21,990",5,16 GB,512 GB,i5,Windows 11
CHUWI,"₹1,13,290","₹37,990",4.3,8 GB,256 GB,i3,Windows 11
HP,"₹97,200","₹1,52,042",3.9,12GB,512GB,Ryzen 5,Windows 11
Lenovo,"₹57,990","₹80,690",4.2,12 GB,512 GB,i5,Windows 11
Lenovo,"₹65,000","₹57,990",4.1,8 GB,512 GB,i5,Windows 11
ASUS,"₹79,990","₹38,990",3.9,16 GB,512 GB,i5,Windows 11
HP,"₹70,761","₹55,990",4.1,16 GB,512 GB,i3,Windows 11
Infinix,"₹39,990","₹51,990",4.5,8 GB,512 GB,Ryzen 5,Windows 11
DELL,"₹50,000","₹55,990",3.6,8 GB,512 GB,,Windows 11
DELL,,"₹90,783",5,16 GB,512 GB,,Windows 11
Acer,,"₹31,990",5,16 GB,512 GB,,
HP,,"₹40,699",3.8,16 GB,512 GB,,
MSI,"₹96,990","₹69,990",4.1,16 GB,512 GB,i9,Windows 11
Acer,"₹99,999","₹53,990",3.7,16 GB,512 GB,i5,Windows 11
CHUWI,"₹34,990","₹15,990",4.1,8GB,256GB,i7,Windows 11
CHUWI,"₹34,990","₹17,990",4.1,8 GB,256 GB,Ryzen 7,Windows 11
HP,"₹44,990","₹22,200",4,8 GB,256 GB,i5,Windows 11
ASUS,"₹1,31,990","₹1,04,990",4.4,4 GB,256 GB,i5,Windows 11
HP,"₹99,999","₹49,999",4.2,16 GB,512 GB,i5,Windows 11
HP,"₹69,990","₹54,990",3.7,8 GB,512 GB,i3,Windows 11
CHUWI,"₹39,990","₹18,990",4.3,8 GB,512 GB,i3,Windows 11
CHUWI,"₹59,990","₹41,990",4.8,8 GB,256 GB,i5,Windows 11
Infinix,"₹1,63,289","₹59,990",4.1,16 GB,512 GB,Ryzen 3,Windows 11
SAMSUNG,"₹44,990","₹1,26,990",4,16 GB,512 GB,i7,Windows 11
CHUWI,"₹49,990","₹21,990",4.3,16 GB,512 GB,i7,Windows 11
CHUWI,"₹59,499","₹37,990",3.9,8 GB,256 GB,M2,Windows 11
HP,"₹42,359","₹42,990",4.4,12GB,512GB,i7,Windows 11
HP,"₹85,990","₹31,690",4.3,12 GB,512 GB,i3,Windows 11
ASUS,"₹1,22,990","₹71,990",4.7,8 GB,512 GB,i3,Windows 11
ASUS,"₹1,41,990","₹96,990",3.9,8 GB,512 GB,i3,Windows 11
MSI,"₹99,900","₹97,990",4.2,16 GB,512 GB,Ryzen 3,Windows 11
Apple,"₹1,24,954","₹88,499",4.7,16 GB,256 GB,,Windows 11
DELL,"₹55,190","₹1,10,990",5,16 GB,512 GB,,Windows 11
Lenovo,"₹49,990","₹33,290",5,8 GB,256GB,,Windows 11
DELL,"₹47,000","₹36,990",4,16 GB,256 GB,,
Acer,,"₹30,590",5,8 GB,,,
CHUWI,"₹34,990","₹15,990",3.7,8GB,256GB,i5,Windows 11
CHUWI,"₹34,990","₹17,990",4.1,8 GB,256 GB,Ryzen 7,Windows 11
Lenovo,"₹1,03,490","₹72,490",4.5,8 GB,256 GB,i5,Windows 11
ASUS,"₹1,19,990","₹99,990",4.1,8 GB,512 GB,Ryzen 3,Windows 11
CHUWI,"₹39,990","₹18,990",3.7,16 GB,512 GB,i5,Windows 11
CHUWI,"₹59,990","₹41,990",4.5,8 GB,256 GB,i3,Windows 11
MICROSOFT,"₹1,16,999","₹1,13,990",4,16 GB,512 GB,i3,Windows 11
Lenovo,"₹53,090","₹32,190",4.1,16 GB,256 GB,i3,Windows 11
HP,"₹73,920","₹54,890",3.8,8 GB,512 GB,i7,Windows 11
Acer,"₹42,999","₹31,500",4.1,16 GB,512 GB,i5,Windows 11
CHUWI,"₹44,990","₹21,990",4,16 GB,512 GB,i5,Windows 11
CHUWI,"₹49,990","₹37,990",4,8 GB,256 GB,i5,Windows 11
MSI,"₹1,29,990","₹1,04,990",4.2,12GB,512GB,i5,Windows 11
DELL,"₹99,890","₹78,890",4.1,12 GB,512 GB,i5,Windows 11
ASUS,"₹2,90,990","₹2,29,990",4.1,16 GB,512 GB,i3,Windows 11
Apple,"₹1,54,900","₹1,43,990",4.2,16 GB,32 GB,i7,Windows 11
HP,"₹71,500","₹48,409",4.5,16 GB,24 GB,,Windows 11
DELL,"₹71,820","₹48,990",2.6,8 GB,512 GB,,Windows 11
Lenovo,"₹73,990","₹64,690",4.3,16 GB,512 GB,,Windows 11
Apple,"₹3,99,900","₹3,45,990",4.2,16 GB,512 GB,,Windows 11
MSI,"₹1,14,990","₹82,990",5,16 GB,512 GB,,Windows 11
HP,"₹84,990","₹53,290",5,8 GB,48 GB,,Windows 11
HP,"₹47,278","₹37,990",4,,512 GB,,Windows 11
MSI,"₹1,79,990","₹1,54,990",5,,512 GB,,
